bed_id,species,length
BKY01,M. falcata,6.35
BKY01,M. falcata,7.1
BKY01,M. falcata,11.9
BKY01,M. falcata,11.6
BKY01,M. falcata,5.45
BKY01,M. falcata,6.25
BKY01,M. falcata,8.4
BKY01,M. falcata,6.4
BKY01,M. falcata,11.8
BKY01,M. falcata,9.5
BKY01,M. falcata,7
BKY01,M. falcata,2.25
BKY01,M. falcata,4.8
BKY01,M. falcata,6.6
BKY01,M. falcata,6.2
BKY01,M. falcata,8.6
BKY01,M. falcata,10.5
BKY01,M. falcata,9.5
BKY01,M. falcata,8.7
COW01,M. falcata,4
COW01,M. falcata,5.5
COW01,M. falcata,4.2
COW01,M. falcata,3.9
COW01,M. falcata,3.8
COW01,M. falcata,4
COW01,M. falcata,4.9
COW01,M. falcata,6.56
COW01,M. falcata,5.5
COW01,M. falcata,3.8
COW01,M. falcata,4.5
COW01,M. falcata,6.3
COW01,M. falcata,4.9
COW01,M. falcata,4.1
COW01,M. falcata,5.3
COW01,M. falcata,5.1
COW01,M. falcata,3.7
COW01,M. falcata,5.3
COW01,M. falcata,5.5
COW01,M. falcata,4.2
COW01,M. falcata,4.5
COW01,M. falcata,4.8
COW01,M. falcata,4.5
COW01,M. falcata,5.8
COW01,M. falcata,4.7
COW01,M. falcata,4.5
COW01,M. falcata,4.9
COW01,M. falcata,2.2
COW01,M. falcata,4
COW01,M. falcata,2.8
COW01,M. falcata,4.6
COW01,M. falcata,5.5
COW01,M. falcata,4.5
COW01,M. falcata,5.1
COW01,M. falcata,3
COW01,M. falcata,5
COW01,M. falcata,4.4
COW01,M. falcata,4.2
COW01,M. falcata,5.4
COW01,M. falcata,6.6
COW01,M. falcata,5.8
COW01,M. falcata,3.2
COW01,M. falcata,3.2
COW01,M. falcata,6
COW01,M. falcata,2.9
COW01,M. falcata,6
COW01,M. falcata,5.9
COW01,M. falcata,3.1
COW01,M. falcata,4
COW01,M. falcata,5.1
COW01,M. falcata,2.2
COW01,M. falcata,6.1
COW01,M. falcata,6.4
COW01,M. falcata,5
COW01,M. falcata,5
COW01,M. falcata,4.5
COW01,M. falcata,7.8
COW01,M. falcata,4.8
COW01,M. falcata,6.7
COW01,M. falcata,5.1
COW01,M. falcata,5.2
COW01,M. falcata,5.5
COW01,M. falcata,5.9
COW01,M. falcata,5.1
COW01,M. falcata,4.8
COW01,M. falcata,4
COW01,M. falcata,4
COW01,M. falcata,3.9
COW01,M. falcata,4
COW01,M. falcata,4.6
COW01,M. falcata,6.8
COW01,M. falcata,5.4
COW01,M. falcata,3.9
COW01,M. falcata,4.4
COW01,M. falcata,4.6
COW01,M. falcata,6.1
COW01,M. falcata,4.9
COW01,M. falcata,5.3
COW01,M. falcata,6.6
COW01,M. falcata,9.5
COW01,M. falcata,5.3
COW01,M. falcata,4.7
COW01,M. falcata,2.6
COW01,M. falcata,4.9
COW01,M. falcata,6.7
COW01,M. falcata,4.2
COW01,M. falcata,5.2
COW01,M. falcata,5.3
COW01,M. falcata,3.9
COW01,M. falcata,4.7
COW01,M. falcata,2.3
COW01,M. falcata,6.2
COW01,M. falcata,5.1
COW01,M. falcata,4.6
COW01,M. falcata,4.6
COW01,M. falcata,4.1
COW01,M. falcata,7
TIL02,Anodonta sp.,2.9
TIL02,Anodonta sp.,3.8
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,3.6
TIL02,Anodonta sp.,5.2
TIL02,Anodonta sp.,4.9
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,4.8
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.1
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,2.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.5
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,3.8
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,3.7
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.7
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,6
TIL02,Anodonta sp.,4.3
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,3.7
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,4.9
TIL02,Anodonta sp.,6.2
TIL02,Anodonta sp.,4.2
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,5.7
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,0.25
TIL02,Anodonta sp.,7
TIL02,Anodonta sp.,4.1
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,6.1
TIL02,Anodonta sp.,5.8
TIL02,Anodonta sp.,5.6
TIL02,Anodonta sp.,4.3
TIL02,Anodonta sp.,5.4
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,5.3
TIL02,Anodonta sp.,5.9
TIL02,Anodonta sp.,0.35
TIL02,Anodonta sp.,0.3
TIL02,Anodonta sp.,3.9
TIL02,Anodonta sp.,5.5
