obs_id,water_body,riv_dist_m,riv_dist_km,riv_dist_mi,drain_area
BKY0101,S Umpqua,65053.32086,65.05332086,40.42224704,1430
BKY0102,S Umpqua,65386.10646,65.38610646,40.62903036,1430
BKY0103,S Umpqua,65155.44071,65.15544071,40.48570135,1430
BKY0201,S Umpqua,71337.08326,71.33708326,44.32679476,1410
BKY0301,S Umpqua,73836.54107,73.83654107,45.87988536,1410
BKY0302,S Umpqua,73897.39426,73.89739426,45.91769777,1410
BKY0303,S Umpqua,74277.6801,74.2776801,46.15399636,1410
BKY0304,S Umpqua,74539.0123,74.5390123,46.31638061,1410
BKY0401,S Umpqua,78498.54103,78.49854103,48.77671694,1410
BKY0402,S Umpqua,78715.6503,78.7156503,48.91162234,1410
BKY0403,S Umpqua,78854.83325,78.85483325,48.99810659,1410
BKY0404,S Umpqua,79007.85096,79.00785096,49.09318736,1410
TIL0201,S Umpqua,152572.3871,152.5723871,94.80405677,571
TIL0202,S Umpqua,152439.5011,152.4395011,94.72148524,571
TIL0301,S Umpqua,158755.1862,158.7551862,98.6458688,564
DAYSCH01,S Umpqua,129912.24,129.91224,,
DAYSCH02,S Umpqua,129960.838,129.960838,,
DAYSCH03,S Umpqua,129942.771,129.942771,,
DAYSCH04,S Umpqua,129995.481,129.995481,,
DAYSCH05,S Umpqua,130182.427,130.182427,,
DAYSCH06,S Umpqua,130316.891,130.316891,,
DAYSCH07,S Umpqua,130128.487,130.128487,,
DAYSCH08,S Umpqua,130094.93,130.09493,,
SR01,S Umpqua,157348.109,157.348109,,
SR02,S Umpqua,157580.966,157.580966,,
OB01,S Umpqua,159871.805,159.871805,,
OB02,S Umpqua,159945.036,159.945036,,
OB03,S Umpqua,159984.503,159.984503,,
OB04,S Umpqua,160109.673,160.109673,,
ZINCCMP01,S Umpqua,196288.243,196.288243,,
ZINCCMP02,S Umpqua,196196.888,196.196888,,
TIL0302,S Umpqua,158654.3023,158.6543023,98.5831825,564
MAFA_BoomerHill,S Umpqua,79066.50331,79.06650331,49.12963223,1410
MAFA_CanyonvillePk,S Umpqua,113879.4418,113.8794418,70.76138262,699
MAFA_CoffeCr1,S Umpqua,158490.6097,158.4906097,98.48146861,564
MAFA_DaysChute1,S Umpqua,129974.9498,129.9749498,80.76266454,643
MAFA_DaysChute2,S Umpqua,129974.9498,129.9749498,80.76266454,643
MAFA_GrassyBeach,S Umpqua,137669.0124,137.6690124,85.54353192,630
MAFA_HappyValley1,S Umpqua,39247.52639,39.24752639,24.38727472,1640
MAFA_HappyValley2,S Umpqua,39235.95392,39.23595392,24.38008392,1640
MAFA_KBarRanch,S Umpqua,73793.71406,73.79371406,45.8532739,1410
MAFA_OldBridge2,S Umpqua,160095.2482,160.0952482,99.47854445,545
MAFA_OldBridgeSampleSite,S Umpqua,159827.608,159.827608,99.31224058,545
MAFA_SaltCr,S Umpqua,166877.0978,166.8770978,103.6925891,451
MAFA_ShafferRanch,S Umpqua,157435.9787,157.4359787,97.82615152,565
MAFA_Tiller3,S Umpqua,173265.3236,173.2653236,107.6620474,441
MAFA_WiegleRd,S Umpqua,70924.44012,70.92444012,44.07039028,1410
COW0101,Cow Cr,36468.02472,36.46802472,22.66017299,474
COW0102,Cow Cr,36618.38737,36.61838737,22.75360398,474
COW0103,Cow Cr,37054.80274,37.05480274,23.02477983,474
COW0104,Cow Cr,36322.36858,36.32236858,22.56966649,474
COW0201,Cow Cr,45843.1686,45.8431686,28.48561552,394
