obs_id,site_id,total_count,DB_Pforest,HUC_Pforest,HUC_Pth,HUC_Pag,SP_10yr,dist_km,clams
BKY0101,BKY01,40,70.92401682,39.46864472,38.68857328,14.83151864,265.8107051,65.05332086,yes
BKY0102,BKY01,5,70.92401682,39.46864472,38.68857328,14.83151864,265.8107051,65.38610646,yes
BKY0103,BKY01,2,70.92401682,39.46864472,38.68857328,14.83151864,265.8107051,65.15544071,yes
BKY0201,BKY02,4,71.35338538,39.46864472,38.68857328,14.83151864,210.8498985,71.33708326,yes
BKY0301,BKY03,9,71.44705809,39.46864472,38.68857328,14.83151864,123.6661992,73.83654107,yes
BKY0302,BKY03,2,71.44705809,39.46864472,38.68857328,14.83151864,123.6661992,73.89739426,yes
BKY0303,BKY03,4,71.44705809,39.46864472,38.68857328,14.83151864,123.6661992,74.2776801,yes
BKY0304,BKY03,12,71.44705809,39.46864472,38.68857328,14.83151864,123.6661992,74.5390123,yes
BKY0401,BKY04,1,71.59953816,39.46864472,38.68857328,14.83151864,325.4314462,78.49854103,yes
BKY0402,BKY04,2,71.59953816,39.46864472,38.68857328,14.83151864,325.4314462,78.7156503,yes
BKY0403,BKY04,1,71.59953816,39.46864472,38.68857328,14.83151864,325.4314462,78.85483325,yes
BKY0404,BKY04,2,71.59953816,39.46864472,38.68857328,14.83151864,325.4314462,79.00785096,yes
BKY0501,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,97.22384,yes
BKY0502,BKY05,2,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,97.38255,yes
BKY0503,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,97.5231,yes
BKY0504,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,97.400574,yes
BKY0505,BKY05,4,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,97.517,yes
BKY0506,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,96.752054,yes
BKY0507,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,96.752282,yes
BKY0508,BKY05,1,72.32773958,36.43418115,32.10923228,15.94297937,323.7076664,96.940632,yes
CNYNPK01,CNYNPK,1,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.672701,yes
CNYNPK02,CNYNPK,3,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.765942,yes
CNYNPK03,CNYNPK,3,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.78509,yes
CNYNPK04,CNYNPK,2,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.8006,yes
CNYNPK05,CNYNPK,2,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.800394,yes
CNYNPK06,CNYNPK,47,75.09158092,52.74446205,22.11158885,19.78493542,298.6324194,113.849914,yes
DAYSCH01,DAYSCH,2,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,129.91224,no
DAYSCH02,DAYSCH,1,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,129.960838,no
DAYSCH03,DAYSCH,1,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,129.942771,no
DAYSCH04,DAYSCH,1600,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,129.995481,no
DAYSCH05,DAYSCH,944,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,130.182427,no
DAYSCH06,DAYSCH,69,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,130.316891,no
DAYSCH07,DAYSCH,8,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,130.128487,no
DAYSCH08,DAYSCH,36,76.47451801,62.40454,29.48949179,5.990252888,85.93061817,130.09493,no
TIL0201,TIL02,364,79.38093076,49.16979,45.38721534,3.137986443,293.7247015,152.5723871,no
TIL0202,TIL02,1,79.38093076,49.16979,45.38721534,3.137986443,293.7247015,152.4395011,no
SR01,SR,1348,79.41227874,49.16979,45.38721534,3.137986443,470.3530916,157.348109,no
SR02,SR,50,79.41227874,49.16979,45.38721534,3.137986443,470.3530916,157.580966,no
TIL0301,TIL03,86978,79.43062426,49.16979,45.38721534,3.137986443,142.2936551,158.7551862,no
TIL0302,TIL03,60,79.43062426,49.16979,45.38721534,3.137986443,142.2936551,158.6241883,no
OB01,OB,2,79.1826917,49.16979,45.38721534,3.137986443,655.4376702,159.871805,no
OB02,OB,3114,79.1826917,49.16979,45.38721534,3.137986443,655.4376702,159.945036,no
OB03,OB,350,79.1826917,49.16979,45.38721534,3.137986443,655.4376702,159.984503,no
OB04,OB,5,79.1826917,49.16979,45.38721534,3.137986443,655.4376702,160.109673,no
ZINCCMP01,ZINCCMP,200,77.12704684,84.05667,15.93860685,0,69.93028413,196.288243,no
ZINCCMP02,ZINCCMP,2500,77.12704684,84.05667,15.93860685,0,69.93028413,196.196888,no
COW0101,COW01,112,70.64334064,65.58322916,29.74709107,0.319261467,28.96976977,NA,no
COW0102,COW01,1,70.64334064,65.58322916,29.74709107,0.319261467,28.96976977,NA,no
COW0103,COW01,1,70.64334064,65.58322916,29.74709107,0.319261467,28.96976977,NA,no
COW0104,COW01,1,70.64334064,65.58322916,29.74709107,0.319261467,28.96976977,NA,no
COW0201,COW02,2,70.81064502,65.58322916,47.34389679,0,439.9700074,NA,no
