site_id,watershed_type,dvlpOPN_11,dvlp_22,ag_33,TH_44,frst_55,wtr_66,brn_77,total,Tdvlp,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH
BKY01,drainage basin,78894,22619,115205,966079,2913765,5446,6283,4108291,101513,70.92401682,1.920360559,0.550569568,2.470930126,2.804207394,23.51534981
BKY02,drainage basin,78114,21274,107033,947525,2902523,5174,6171,4067814,99388,71.35338538,1.920294291,0.522983598,2.443277888,2.631216668,23.29322334
BKY03,drainage basin,77351,21201,104365,944921,2900249,5048,6163,4059298,98552,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116
BKY04,drainage basin,76746,20786,100240,939697,2895350,4858,6134,4043811,97532,71.59953816,1.897863179,0.514020067,2.411883246,2.478849778,23.23790602
COW01,drainage basin,43200,5262,12540,294133,861634,2348,579,1219696,48462,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
COW02,drainage basin,39388,5007,12482,271438,803402,2347,514,1134578,44395,70.81064502,3.471599132,0.441309456,3.912908588,1.100144723,23.92413743
MAFA_CanyonvillePk,drainage basin,7838,871,34808,454947,1510344,1375,1153,2011336,8709,75.09158092,0.38969123,0.04330455,0.43299578,1.73059101,22.61914469
MAFA_DaysChute,drainage basin,5920,614,10505,416040,1414878,1073,1100,1850130,6534,76.47451801,0.319977515,0.033186857,0.353164372,0.567797939,22.48706848
MAFA_GrassyBeach,drainage basin,5107,511,6958,401381,1396381,877,1015,1812230,5618,77.05318861,0.281807497,0.028197304,0.310004801,0.38394685,22.14845798
MAFA_HappyValley,drainage basin,107871,34337,206841,1110149,3237847,7592,7365,4712002,142208,68.71489019,2.289281711,0.728713613,3.017995323,4.389662823,23.5600282
MAFA_OldBridge,drainage basin,3291,181,1235,320578,1242709,673,753,1569420,3472,79.1826917,0.209695301,0.011532923,0.221228224,0.078691491,20.426527
MAFA_SaltCr,drainage basin,162,5,662,212707,1083654,636,680,1298506,167,83.4539078,0.012475876,0.000385058,0.012860934,0.050981667,16.38090236
MAFA_ShafferRanch,drainage basin,3413,198,1263,328189,1290440,691,794,1624988,3611,79.41227874,0.21003232,0.012184705,0.222217026,0.077723651,20.1963953
MAFA_Tiller3,drainage basin,159,5,530,206972,1060645,609,655,1269575,164,83.54331174,0.012523876,0.000393833,0.012917709,0.041746254,16.30246342
TIL02,drainage basin,3869,336,2547,330578,1304497,715,796,1643338,4205,79.38093076,0.235435437,0.020446189,0.255881626,0.154989418,20.11625119
TIL03,drainage basin,3372,195,1263,327812,1290140,675,778,1624235,3567,79.43062426,0.207605427,0.012005652,0.219611078,0.077759684,20.18254748
ZERO_CowCr,drainage basin,43200,5262,12540,294133,861634,2348,579,1219696,48462,70.64334064,3.54186617,0.431418977,3.973285146,1.028125041,24.11527135
ZERO_UmpConf,drainage basin,129083,65191,337064,1251694,3379703,9985,8341,5181061,194274,65.23187046,2.491439495,1.25825579,3.749695284,6.50569449,24.15902843
