	obs_id	site_id	obs_type	water_body	usgs_gage	species_sci	species_comm	total_count	total_est	density	area	observers	obs_date	Datum	notes	X	Y
1	GOAN_BoomerHill	MAFA_BoomerHill	shell	S Umpqua	Brockway	Gonidea angulata	western ridged	1	no	NA	NA	"Nancy Duncan, Tim Ballard"	8/24/06	NAD27	"one shell on east side of river, just below rapids at public access rock. subadult."	-123.3304367	43.04605426
2	GOAN_DaysChute	MAFA_DaysChute	shell	S Umpqua	Tiller	Gonidea angulata	western ridged	1	no	NA	NA	Nancy Duncan	8/31/06	NAD27	"one old shell found in water, west side of river below rapids"	-123.176492	42.96130519
3	MAFA_Milo	MAFA_Milo	shell	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	1	no	NA	NA	"Nancy Duncan, Tim Ballard, Jacob Ansures"	8/1/07	NAD27	one shell found in 100% survey	-123.0409685	42.93283314
4	MAFA_IronMtn	MAFA_IronMtn	shell	Cow Cr	Riddle	Margaritifera falcata	western pearlshell	1	no	NA	NA	"Nancy Duncan, Tim Ballard, Jacob Ansures"	8/2/07	NAD27	one shell	-123.5372615	42.89228951
5	MAFA_BoomerHill	MAFA_BoomerHill	visual	S Umpqua	Brockway	Margaritifera falcata	western pearlshell	10	yes	10	NA	"Nancy Duncan, Tim Ballard"	11/7/06	NAD27	"one area on east side of river, just below rapids at public access rock: area 1 sq meter, density 10/ sq m"	-123.3304367	43.04605426
6	MAFA_CanyonvillePk	MAFA_CanyonvillePk	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	4	yes	4	1	"Nancy Duncan, Tony Sanchez, Tim Ballard"	8/7/06	NAD27	"2 locations at boat launch area, north side of river below rapids: area 0.25 sq m each, density 4/sq m"	-123.2632294	42.94249768
7	MAFA_CoffeCr1	MAFA_CoffeeCr1	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	3000	yes	80	38	"Nancy Duncan, Tim Ballard, Robert Horn"	8/29/06	NAD27	"largest colony across from red house, south side of river: area 38 sq meters, density 80/sq m"	-123.0021327	42.94129643
8	MAFA_DaysChute1	MAFA_DaysChute	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	60	yes	20	3	"Nancy Duncan, Tim Ballard"	8/31/06	NAD27	"below Days Creek chute, in slower water below rapids: area 3 sq meters, density 20/sq m"	-123.1766749	42.96098072
9	MAFA_DaysChute2	MAFA_DaysChute	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	600	yes	20	30	"Nancy Duncan, Tim Ballard"	8/31/06	NAD27	"pool and side channel below rapids, upstream from rock cliff: area 30 sq meters, density 20/sq m"	-123.1766262	42.96109786
10	MAFA_GrassyBeach	MAFA_GrassyBeach	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	16	yes	8	2	"Nancy Duncan, Tony Sanchez, Tim Ballard"	8/14/06	NAD27	"one colony: area 2 sq meters, density 8/sq m"	-123.1310808	42.94505765
11	MAFA_HappyValley1	MAFA_HappyValley	visual	S Umpqua	Brockway	Margaritifera falcata	western pearlshell	12	yes	4	3	Nancy Duncan	8/11/06	NAD27	"at boat launch Happy Valley Bridge, before riffle: area 3 sq meter, density 4/sq m"	-123.3932227	43.16492906
12	MAFA_HappyValley2	MAFA_HappyValley	visual	S Umpqua	Brockway	Margaritifera falcata	western pearlshell	2	no	2	1	"Tim Ballard, Tony Sanchez"	8/11/06	NAD27	"below riffle east of island below boat ramp: area 1 sq meter, density 2/sq m"	-123.3931129	43.16506451
13	MAFA_KBarRanch	MAFA_KBarRanch	visual	S Umpqua	Brockway	Margaritifera falcata	western pearlshell	3	yes	3	1	"Nancy Duncan, Tim Ballard, Tony Sanchez"	8/15/06	NAD27	"only one live colony, near big barn access to river, in shallow side channel on north side of river: area 1 sq meter, density 3/sq m"	-123.3561961	43.06534695
14	MAFA_OldBridge2	MAFA_OldBridge	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	8	yes	8	1	"Nancy Duncan, Tony Sanchez, Tim Ballard"	8/19/06	NAD27	"small colony downstream from day use area: area 1 sq meter, density 8/sq m"	-122.9916293	42.93656837
15	MAFA_OldBridgeSampleSite	MAFA_OldBridge	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	200	yes	10	20	"Nancy Duncan, Tim Ballard, Tony Sanchez, Angie Worthing"	8/10/06	NAD27	"sample area east side of river below rock outcrop, above rapids: area 20 sq meters, density 10/ sq m"	-122.9919722	42.9389728
16	MAFA_SaltCr	MAFA_SaltCr	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	3	no	NA	NA	"Nancy Duncan, Tim Ballard"	8/25/06	NAD27	3 single animals here and upstream 100 ft: 	-122.9449366	42.93477238
17	MAFA_ShafferRanch	MAFA_ShafferRanch	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	200	yes	20	10	"Nancy Duncan, Tony Sanchez, Tim Ballard"	8/8/06	NAD27	"in rapids below driveway east of house, north of island: area 10 sq meters, density 20 sq m"	-123.0101616	42.94622189
18	MAFA_Tiller3	MAFA_Tiller3	visual	S Umpqua	Tiller	Margaritifera falcata	western pearlshell	2	no	NA	NA	"Nancy Duncan, Tim Ballard"	8/25/06	NAD27	2 live animals separated by 100 ft	-122.9064847	42.95542356
19	MAFA_WiegleRd	MAFA_WiegleRd	visual	S Umpqua	Brockway	Margaritifera falcata	western pearlshell	1	no 	NA	NA	"Nancy Duncan, Tim Ballard"	8/30/06	NAD27	only one live animal seen downstream from access point at road end	-123.3710308	43.07534947
