obs_id,site_id,obs_type,water_body,usgs_gage,species_comm,total_count,area,Y,X,datum,obs_date,Mafa_cnt,Ano_cnt,Goan_cnt,AsianClams,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0101,BKY01,systematic sample,S Umpqua,Brockway,western pearlshell,40,120,43.079268,-123.38823,WGS84,7/21/18,40,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0102,BKY01,visual,S Umpqua,Brockway,western pearlshell,5,15,43.08073,-123.38642,WGS84,6/14/18,5,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0103,BKY01,visual,S Umpqua,Brockway,western pearlshell,2,60,43.07939,-123.38733,WGS84,7/21/18,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0201,BKY02,visual,S Umpqua,Brockway,western pearlshell,4,7.5,43.07161,-123.37118,WGS84,9/11/18,4,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0301,BKY03,visual,S Umpqua,Brockway,western pearlshell,9,75,43.064119,-123.357484,WGS84,7/21/18,9,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0302,BKY03,visual,S Umpqua,Brockway,western pearlshell,2,30,43.063356,-123.357287,WGS84,7/22/18,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0303,BKY03,visual,S Umpqua,Brockway,western pearlshell,4,200,43.062444,-123.354012,WGS84,7/21/18,4,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0304,BKY03,visual,S Umpqua,Brockway,western pearlshell,12,210,43.063694,-123.352068,WGS84,7/21/18,12,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0401,BKY04,visual,S Umpqua,Brockway,western pearlshell,1,0.25,43.048726,-123.328327,WGS84,9/12/18,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0402,BKY04,visual,S Umpqua,Brockway,western pearlshell,2,10,43.04727,-123.328733,WGS84,9/12/18,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0403,BKY04,visual,S Umpqua,Brockway,western pearlshell,1,0.25,43.046412,-123.329169,WGS84,9/12/18,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0404,BKY04,visual,S Umpqua,Brockway,western pearlshell,2,0.25,43.045457,-123.329596,WGS84,9/12/18,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0501,BKY05,visual,S Umpqua,Brockway,floater,1,0.25,42.972178,-123.345911,NAD83,8/18/20,0,1,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0502,BKY05,visual,S Umpqua,Brockway,western pearlshell,2,NA,42.971291,-123.345154,NAD83,8/18/20,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0503,BKY05,visual,S Umpqua,Brockway,western pearlshell,1,0.25,42.970297,-123.34502,NAD83,8/18/20,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0504,BKY05,visual,S Umpqua,Brockway,western pearlshell,1,0.25,42.971172,-123.345115,NAD83,8/18/20,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0505,BKY05,visual,S Umpqua,Brockway,western pearlshell,4,0.25,42.970495,-123.344628,NAD83,8/18/20,4,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0506,BKY05,visual,S Umpqua,Brockway,floater,1,0.25,42.975028,-123.347405,NAD83,8/19/20,0,1,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0507,BKY05,visual,S Umpqua,Brockway,western pearlshell,1,0.25,42.9751,-123.347042,NAD83,8/19/20,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
BKY0508,BKY05,visual,S Umpqua,Brockway,western pearlshell,1,0.25,42.973796,-123.347138,NAD83,8/19/20,1,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK01,CNYNPK,visual,S Umpqua,Tiller,floater,1,0.25,42.940215,-123.266238,NAD83,8/18/20,0,1,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK02,CNYNPK,visual,S Umpqua,Tiller,"western pearlshell, floater",3,6,42.94031,-123.265443,NAD83,8/18/20,2,1,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK03,CNYNPK,visual,S Umpqua,Tiller,"western pearlshell, floater",3,6,42.940341,-123.265276,NAD83,8/18/20,2,1,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK04,CNYNPK,visual,S Umpqua,Tiller,western pearlshell,2,2,42.94029,-123.265108,NAD83,8/18/20,2,0,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK05,CNYNPK,visual,S Umpqua,Tiller,floater,2,0.5,42.940239,-123.265088,NAD83,8/19/20,0,2,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CNYNPK06,CNYNPK,visual,S Umpqua,Tiller,"western pearlshell, western ridged",47,90,42.940491,-123.26473,NAD83,8/19/20,44,0,3,yes,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH01,DAYSCH,visual,S Umpqua,Tiller,"western pearlshell, floater",2,10,42.959717,-123.175829,NAD83,8/4/20,1,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH02,DAYSCH,visual,S Umpqua,Tiller,western pearlshell,1,0.25,42.959589,-123.176136,NAD83,8/4/20,1,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH03,DAYSCH,visual,S Umpqua,Tiller,western pearlshell,1,NA,42.959871,-123.176224,NAD83,8/5/20,1,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH04,DAYSCH,timed search,S Umpqua,Tiller,"western pearlshell, floater, western ridged",1600,1600,42.959513,-123.176441,NAD83,8/4/20,1594,1,5,no,,,,,,,,,,,,,,,,,,,,,,,,,
