Block_Num,Unit_Num,Species,S_or_E,L_or_D,Length_cm
1,1,Mafa,S,L,4
2,2,Mafa,S,L,5.5
3,1,Mafa,S,L,4.2
3,1,Mafa,S,L,3.9
3,1,Mafa,S,L,3.8
3,1,Mafa,S,L,4
4,1,Mafa,S,L,4.9
4,1,Mafa,S,L,6.56
4,1,Mafa,S,L,5.5
4,1,Mafa,S,L,3.8
4,2,Mafa,S,L,4.5
6,1,Mafa,S,L,6.3
6,1,Mafa,S,L,4.9
7,1,Mafa,S,L,4.1
7,1,Mafa,S,L,5.3
7,1,Mafa,S,L,5.1
8,2,Mafa,S,L,3.7
8,3,Mafa,S,L,5.3
9,1,Mafa,S,L,5.5
9,1,Mafa,S,L,4.2
9,1,Mafa,S,L,4.5
9,2,Mafa,S,L,4.8
10,1,Mafa,S,L,4.5
10,1,Mafa,S,L,5.8
10,1,Mafa,S,L,4.7
10,1,Mafa,S,L,4.5
10,1,Mafa,S,L,4.9
10,1,Mafa,S,L,2.2
10,1,Mafa,S,L,4
10,1,Mafa,S,L,2.8
10,2,Mafa,S,L,4.6
11,2,Mafa,S,L,5.5
12,1,Mafa,S,L,4.5
12,2,Mafa,S,L,5.1
12,2,Mafa,E,L,3
12,3,Mafa,S,L,5
14,2,Mafa,S,L,4.4
15,1,Mafa,S,L,4.2
15,1,Mafa,S,L,5.4
15,2,Mafa,S,L,6.6
15,4,Mafa,S,L,5.8
18,1,Mafa,S,L,3.2
19,1,Mafa,S,L,3.2
19,2,Mafa,S,L,6
19,2,Mafa,S,L,2.9
19,2,Mafa,S,L,6
19,4,Mafa,S,L,5.9
20,1,Mafa,S,L,3.1
20,1,Mafa,S,L,4
21,1,Mafa,S,L,5.1
21,1,Mafa,S,L,2.2
23,1,Mafa,S,L,6.1
23,1,Mafa,S,L,6.4
27,1,Mafa,S,L,5
27,1,Mafa,S,L,5
27,1,Mafa,S,L,4.5
28,1,Mafa,S,L,7.8
28,1,Mafa,S,L,4.8
28,1,Mafa,S,L,6.7
29,3,Mafa,S,L,5.1
30,2,Mafa,S,L,5.2
31,2,Mafa,S,L,5.5
31,3,Mafa,S,L,5.9
32,1,Mafa,S,L,5.1
33,1,Mafa,S,L,4.8
33,1,Mafa,S,L,4
33,1,Mafa,S,L,4
33,3,Mafa,S,L,3.9
34,1,Mafa,S,L,4
34,1,Mafa,S,L,4.6
35,1,Mafa,S,L,6.8
35,1,Mafa,S,L,5.4
35,1,Mafa,S,L,3.9
35,1,Mafa,S,L,4.4
35,1,Mafa,S,L,4.6
35,3,Mafa,S,L,6.1
35,3,Mafa,S,L,4.9
36,1,Mafa,S,L,5.3
36,2,Mafa,S,L,6.6
36,2,Mafa,S,L,9.5
37,1,Mafa,S,L,5.3
37,2,Mafa,S,L,4.7
37,2,Mafa,S,L,2.6
37,3,Mafa,S,L,4.9
37,4,Mafa,S,L,6.7
38,1,Mafa,S,L,4.2
38,3,Mafa,S,L,5.2
38,3,Mafa,S,L,5.3
39,1,Mafa,S,L,3.9
39,3,Mafa,S,L,4.7
39,3,Mafa,S,D,NA
40,2,Mafa,S,L,2.3
40,2,Mafa,S,D,NA
40,3,Mafa,S,L,6.2
40,3,Mafa,S,L,5.1
41,3,Mafa,S,L,4.6
41,3,Mafa,S,L,4.6
41,3,Mafa,S,L,4.1
42,1,Mafa,S,L,7
