obs_id,site_id,huc12_id,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH,relativeTH
BKY0101,BKY01,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0102,BKY01,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0103,BKY01,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0201,BKY02,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0301,BKY03,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0302,BKY03,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0303,BKY03,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0304,BKY03,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0401,BKY04,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0402,BKY04,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0403,BKY04,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
BKY0404,BKY04,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
TIL0201,TIL02,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
TIL0202,TIL02,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
TIL0301,TIL03,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
TIL0302,TIL03,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
COW0101,COW01,1.71003E+11,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,31.20422862
COW0102,COW01,1.71003E+11,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,31.20422862
COW0103,COW01,1.71003E+11,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,31.20422862
COW0104,COW01,1.71003E+11,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,31.20422862
COW0201,COW02,1.71003E+11,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,31.20422862
ZERO_Milo,ZERO_Milo,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
MAFA_BoomerHill,MAFA_BoomerHill,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
MAFA_CanyonvillePk,MAFA_CanyonvillePk,1.71003E+11,52.74446205,3.33324952,1.580716267,4.913965787,19.78493542,22.11158885,29.53881294
MAFA_CoffeCr1,MAFA_CoffeeCr1,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
MAFA_DaysChute1,MAFA_DaysChute,1.71003E+11,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179,32.09075723
MAFA_DaysChute2,MAFA_DaysChute,1.71003E+11,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179,32.09075723
MAFA_GrassyBeach,MAFA_GrassyBeach,1.71003E+11,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179,32.09075723
MAFA_HappyValley1,MAFA_HappyValley,1.71003E+11,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389,46.75690564
MAFA_HappyValley2,MAFA_HappyValley,1.71003E+11,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389,46.75690564
MAFA_KBarRanch,MAFA_KBarRanch,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
MAFA_OldBridge2,MAFA_OldBridge,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
MAFA_OldBridgeSampleSite,MAFA_OldBridge,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
MAFA_SaltCr,MAFA_SaltCr,1.71003E+11,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449,21.45087519
MAFA_ShafferRanch,MAFA_ShafferRanch,1.71003E+11,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,47.99984374
MAFA_Tiller3,MAFA_Tiller3,1.71003E+11,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449,21.45087519
MAFA_WiegleRd,MAFA_WiegleRd,1.71003E+11,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,49.50096008
ZERO_UmpConf,ZERO_UmpConf,1.71003E+11,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389,46.75690564
