"","site_id","lgth_ft","min_prcntSLPE","max_prcntSLPE"
"1","BKY01",2135.145681,0.125049219,0.134887751
"2","BKY02",2629.015473,0.141118302,0.152909674
"3","BKY03",2803.699105,0.074545339,0.0816792
"4","BKY04",2956.976319,0.111261561,0.118025632
"5","TIL02",1786.098971,0.230670028,0.258103558
"6","TIL03",2069.312279,0.070552957,0.095199164
"7","COW01",1956.504187,0.0097113,0.028622377
"8","COW02",2192.841902,0.276810106,0.326974963
"9","MAFA_HappyValley",2749.408311,0.09965857,0.105114034
"10","MAFA_CanyonvillePk",2562.874656,0.181047286,0.201335402
"11","MAFA_DaysChute",2153.15227,0.030189412,0.045978634
"12","MAFA_GrassyBeach",2726.175663,0.118115316,0.135721702
"13","MAFA_Milo",2731.931651,0.288807152,0.300518536
"14","MAFA_ShafferRanch",2190.509291,0.310886515,0.332341343
"15","MAFA_OldBridge",1898.05144,0.4741705,0.51737307
"16","MAFA_SaltCr",2022.926795,0.102327331,0.143357832
"17","MAFA_Tiller3",2146.845319,0.252931776,0.276688029
"18","MAFA_BoomerHill",2956.976319,0.111261561,0.118025632
"19","MAFA_CoffeeCr1",2069.312279,0.070552957,0.095199164
"20","MAFA_KBarRanch",2803.699105,0.074545339,0.0816792
"21","MAFA_WiegleRd",2629.015473,0.141118302,0.152909674
"22","TIL03_Take2",2726.060607,0.083271076,0.087672849
"23","MAFA_DaysChute_TAKE2",2992.59617,0.212858489,0.255297192
