Block_Num,Unit_Num,Species,S_or_E,Length_cm,Width_cm
1,1,Anodonta,E,2.9,1.9
1,3,Anodonta,S,3.8,2.6
1,3,Anodonta,S,4.8,2.7
1,5,Anodonta,S,4.7,2.9
2,2,Anodonta,S,3.9,2.2
3,1,Anodonta,S,5.5,3.3
4,1,Anodonta,S,3.6,1.4
4,3,Anodonta,S,5.2,2.8
5,2,Anodonta,S,4.9,2.8
6,2,Anodonta,S,5.9,3.4
6,2,Anodonta,S,4.7,2.7
6,2,Anodonta,S,4.7,2.5
6,3,Anodonta,S,5.5,3.1
7,1,Anodonta,S,5.6,3
7,3,Anodonta,S,5.4,3.1
8,1,Anodonta,S,4.8,2.8
8,1,Anodonta,S,4.8,3
8,2,Anodonta,S,5.6,3.5
8,2,Anodonta,S,4.2,2.8
8,2,Anodonta,S,4.2,2.8
8,2,Anodonta,S,5.7,3.8
8,10,Anodonta,S,5.7,3.7
9,1,Anodonta,S,4.2,2.8
9,1,Anodonta,S,6.1,3.7
9,1,Anodonta,E,0.3,0.3
9,1,Anodonta,E,0.3,0.3
9,1,Anodonta,E,0.3,0.3
9,2,Anodonta,S,4.1,2.8
9,2,Anodonta,S,4.2,2.8
9,2,Anodonta,S,5.5,3.5
9,2,Anodonta,S,5.5,3
9,4,Anodonta,S,5.1,3.2
9,9,Anodonta,S,5.4,3.4
10,1,Anodonta,S,5.7,3.4
10,2,Anodonta,S,5.8,3.4
10,3,Anodonta,S,5.3,3.5
10,2,Anodonta,S,2.4,1.6
10,4,Anodonta,S,5.4,3.5
10,5,Anodonta,S,5.5,3.4
10,6,Anodonta,S,5.7,3.6
10,9,Anodonta,S,3.8,2.3
11,1,Anodonta,S,5.4,3.2
11,2,Anodonta,S,5.4,3.4
11,2,Anodonta,S,4.7,3
11,2,Anodonta,S,5.8,3.5
11,2,Anodonta,S,3.7,2.4
11,2,Anodonta,S,4.1,2.9
11,2,Anodonta,S,4.2,2.7
11,2,Anodonta,S,5.4,3.2
11,2,Anodonta,S,4.7,2.7
11,2,Anodonta,S,3.9,2.6
11,3,Anodonta,S,5.8,3.7
11,3,Anodonta,S,6,3.8
11,3,Anodonta,S,4.3,2.8
11,3,Anodonta,S,5.8,3.4
11,3,Anodonta,S,3.7,2.4
11,7,Anodonta,S,5.3,3.4
12,1,Anodonta,S,5.4,3.5
12,2,Anodonta,S,4.9,3
12,2,Anodonta,S,6.2,3.8
12,2,Anodonta,S,4.2,2.6
12,2,Anodonta,S,5.4,3.2
12,3,Anodonta,S,6.1,3.9
12,4,Anodonta,S,5.7,3.4
12,6,Anodonta,S,5.6,3.8
13,2,Anodonta,S,5.4,3.4
13,2,Anodonta,S,5.4,3.4
13,9,Anodonta,E,0.25,0.2
14,1,Anodonta,S,7,4.1
14,1,Anodonta,S,4.1,2.5
14,2,Anodonta,S,5.4,3.3
14,2,Anodonta,S,5.8,3.5
14,2,Anodonta,S,5.8,3.5
14,3,Anodonta,S,5.3,3.3
14,3,Anodonta,S,5.4,3.3
14,4,Anodonta,S,6.1,3.5
14,6,Anodonta,S,5.8,3.6
15,2,Anodonta,S,5.6,3.5
15,2,Anodonta,S,4.3,2.7
15,3,Anodonta,S,5.4,3.5
15,4,Anodonta,S,5.9,3.6
15,5,Anodonta,S,5.3,3.2
15,5,Anodonta,S,5.9,3.4
15,5,Anodonta,E,0.35,0.25
15,5,Anodonta,E,0.3,0.25
16,1,Anodonta,S,3.9,1.5
16,2,Anodonta,S,5.5,3.3
16,3,Anodonta,S,5.5,3.4
16,3,Anodonta,S,5.5,3.3
16,6,Anodonta,S,5.2,3.4
17,1,Anodonta,E,0.4,0.35
17,1,Anodonta,E,0.4,0.3
17,1,Anodonta,E,0.3,0.25
17,1,Anodonta,E,0.4,0.3
17,1,Anodonta,E,0.3,0.25
17,1,Anodonta,E,0.4,0.35
17,1,Anodonta,E,0.4,0.35
17,1,Anodonta,E,0.45,0.4
17,1,Anodonta,E,0.45,0.4
17,1,Anodonta,E,0.3,0.25
17,1,Anodonta,E,0.4,0.3
17,1,Anodonta,E,0.3,0.3
17,1,Anodonta,E,0.45,0.4
17,1,Anodonta,E,0.45,0.4
17,2,Anodonta,S,4.7,3
18,3,Anodonta,S,5.2,3.2
18,4,Anodonta,S,4.4,3
18,4,Anodonta,S,5.3,3.3
19,4,Anodonta,S,5.2,3.2
20,1,Anodonta,S,1.8,1.2
20,2,Anodonta,S,5.2,3.2
20,3,Anodonta,S,5.1,3.3
