usgs_site_num	site_name	reach	armoring_ratio	perc_slpe_H20surf	utm_east	utm_north	zone	datum	X	Y
15	Umpqua Sand and Gravel Bar	Roseburg	1.46	0.072	465903	4789440	10	NAD83	-123.42008	43.25699542
16	Doyle Lane Bar	Roseburg	NA	0.095	466433	4785587	10	NAD83	-123.4133159	43.22232496
17	Elk Island Bar	Roseburg	NA	0.035	471768	4784474	10	NAD83	-123.3475696	43.21252133
18	Little Valley Bar	Roseburg	1.39	0.078	468025	4780098	10	NAD83	-123.3933962	43.17296804
19	Stratton Bar	Roseburg	2.5	0.054	466122	4777146	10	NAD83	-123.416628	43.14630356
20	Roberts Mountain Bar	Roseburg	2.32	0.081	467617	4772837	10	NAD83	-123.3979915	43.1075679
21	Civil Bend Bar	Roseburg	NA	0.071	464339	4772592	10	NAD83	-123.4382617	43.10521454
22	Willis Creek Bar	Roseburg	NA	0.101	466162	4770427	10	NAD83	-123.4157263	43.08580298
23	Doerner Bridge Bar	Roseburg	NA	0.128	468433	4769711	10	NAD83	-123.3877853	43.07945353
24	Weigle Bar	Roseburg	1.72	0.082	469804	4768231	10	NAD83	-123.3708632	43.06618228
25	Booth Hill Bar	Roseburg	NA	0.118	473043	4765770	10	NAD83	-123.3309637	43.04414334
26	Myrtle Creek Bridge Bar	Roseburg	NA	0.165	475854	4763649	10	NAD83	-123.2963603	43.02513851
27	Western Bar	Roseburg	3.93	0.149	475533	4763047	10	NAD83	-123.3002737	43.01970727
28	Missouri Bottom Bar	Roseburg	NA	0.114	471545	4758470	10	NAD83	-123.3489827	42.97835286
29	Lawson Bar	Roseburg	1.06	0.09	473188	4755958	10	NAD83	-123.3287122	42.95579198
30	Gazley East	Days Creek	2.87	0.145	473514	4754749	10	NAD83	-123.3246583	42.94491631
31	"Stanton Park Bar, Right"	Days Creek	1.08	0.151	476226	4755096	10	NAD83	-123.2914305	42.94813052
32	Jack's Bar	Days Creek	NA	0.173	480071	4755208	10	NAD83	-123.2443015	42.94924938
33	Days Creek Bridge Bar	Days Creek	NA	NA	485833	4757865	10	NAD83	-123.1737352	42.97330491
34	Days Creek Bar	Days Creek	2.6	0.237	486057	4755125	10	NAD83	-123.1709199	42.94863504
35	Bennett Bar	Days Creek	NA	0.313	489079	4753870	10	NAD83	-123.1338504	42.93738289
36	Lavadoure Creek Road Bar	Days Creek	3.61	0.233	491123	4754071	10	NAD83	-123.1088019	42.93921948
37	Ludwig Bar	Days Creek	NA	0.409	493882	4753570	10	NAD83	-123.0749805	42.93473503
38	Milo Bridge Bar	Days Creek	NA	0.34	496875	4753542	10	NAD83	-123.038299	42.93450103
39	Old Bridge Bar	Days Creek	NA	0.381	500149	4753982	10	NAD83	-122.9981738	42.93846971
40	Parking Area Bar	Days Creek	1.73	0.337	500694	4753221	10	NAD83	-122.991495	42.93161645
41	Tiller Bar	Days Creek	NA	NA	503890	4752732	10	NAD83	-122.9523311	42.9272033
